FGs,F-score,Precision,Recall,Frequency
CC(=O)N(C)C,0.0,0.0,0.0,1
CC(=O)N(C)C(C)=O,0.0,0.0,0.0,1
CC(=O)N(C)CO,0.0,0.0,0.0,2
CC(=O)N(C)N=O,0.0,0.0,0.0,1
CC(=O)N1CC(=O)N(C)C1=S,0.0,0.0,0.0,2
CC(=O)N1CC(=O)NC1=S,0.0,0.0,0.0,2
CC(=O)N=C=O,0.0,0.0,0.0,1
CC(=O)NC(C)O,0.0,0.0,0.0,1
CC(=O)NC(N)=O,0.0,0.0,0.0,1
CC(=O)NC1C=CC(=O)O1,0.0,0.0,0.0,22
CC(=O)NCO,0.0,0.0,0.0,3
CC(=O)NN,0.0,0.0,0.0,1
CC(=O)NNC(C)=O,0.0,0.0,0.0,1
CC(=O)NO,0.0,0.0,0.0,1
CC(=O)N[Si,0.0,0.0,0.0,2
CC(=O)O,0.0,0.0,0.0,2
CC(=O)OC(C)=O,0.0,0.0,0.0,1
CC(=O)OC(C)OC(C)=O,0.0,0.0,0.0,1
CC(=O)OC1=C(C)CCC1=O,0.0,0.0,0.0,1
CC(=O)OC=C(C)C,0.0,0.0,0.0,1
CC(=O)ON1C(=O)CCC1=O,0.0,0.0,0.0,2
CC(=O)ON=C(C)C,0.0,0.0,0.0,1
CC(=O)O[Al,0.0,0.0,0.0,2
CC(=O)O[Si,0.0,0.0,0.0,1
CC(=O)O[Sn,0.0,0.0,0.0,16
CC(=O)S,0.0,0.0,0.0,1
CC(=O)[O-,0.0,0.0,0.0,1
CC(=S)N(C)C,0.0,0.0,0.0,1
CC(Br)=C(Br)Br,0.0,0.0,0.0,2
CC(C#N)=CCl,0.0,0.0,0.0,1
CC(C)=C(C#N)C#N,0.0,0.0,0.0,2
CC(C)=C(C)C,0.0,0.0,0.0,2
CC(C)=C(C)C(=O)O,0.0,0.0,0.0,1
CC(C)=C1C=CC=C1,0.0,0.0,0.0,1
CC(C)=C1SC(=O)NC1=O,0.0,0.0,0.0,1
CC(C)=C1SC(=S)NC1=O,0.0,0.0,0.0,2
CC(C)=C=C(C)C,0.0,0.0,0.0,5
CC(C)=CC(=O)C=C(C)C,0.0,0.0,0.0,2
CC(C)=CC(=O)O,0.0,0.0,0.0,1
CC(C)=CC(C)=C(C)C,0.0,0.0,0.0,8
CC(C)=CC=C(C)C,0.0,0.0,0.0,2
CC(C)=CC=O,0.0,0.0,0.0,1
CC(C)=CCl,0.0,0.0,0.0,1
CC(C)=CN(C)C,0.0,0.0,0.0,1
