FGs,F-score,Precision,Recall,Frequency
CSC(SC)[Si,0.0,0.0,0.0,2
CSC1=NCCS1,0.0,0.0,0.0,1
CSCSC,0.0,0.0,0.0,1
CSN1C(=O)CCC1=O,0.0,0.0,0.0,1
CSN1C(=O)CNC1=O,0.0,0.0,0.0,1
CSN1C(=O)ccC1=O,0.0,0.0,0.0,1
CSP(=O)(Cl)Cl,0.0,0.0,0.0,4
CSP(=O)(O)O,0.0,0.0,0.0,2
CSP(=S)(Cl)Cl,0.0,0.0,0.0,1
CSP(SC)SC,0.0,0.0,0.0,1
CSS(=O)(=O)O,0.0,0.0,0.0,1
CSS(C)(=O)=O,0.0,0.0,0.0,1
CSSC,0.0,0.0,0.0,2
CSSC(C)=C(C)N(C)C=O,0.0,0.0,0.0,1
CS[Si,0.0,0.0,0.0,1
CS[Sn,0.0,0.0,0.0,1
C[As,0.0,0.0,0.0,1
C[Hg,0.0,0.0,0.0,1
C[N+,0.0,0.0,0.0,5
C[NH+,0.0,0.0,0.0,1
C[P+,0.0,0.0,0.0,1
C[Pb,0.0,0.0,0.0,2
C[Se,0.0,0.0,0.0,1
C[Si,0.0,0.0,0.0,1
C[SiH3,0.0,0.0,0.0,1
C[Si](C)(C)C,0.0,0.0,0.0,2
C[Sn,0.0,0.0,0.0,1
Cl,0.0,0.0,0.0,1
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0.0,0.0,0.0,1
ClC(Cl)=C(Cl)Cl,0.0,0.0,0.0,1
ClC1=C(Cl)C(=C2C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,0.0,0.0,0.0,1
ClC1=C(Cl)C(Cl)=C(Cl)C1,0.0,0.0,0.0,1
ClC=C(Cl)Cl,0.0,0.0,0.0,1
ClC=CCl,0.0,0.0,0.0,1
ClP1(Cl)(Cl)OccO1,0.0,0.0,0.0,1
ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=N1,0.0,0.0,0.0,2
Cl[Si,0.0,0.0,0.0,1
Cn1ccnn1,0.0,0.0,0.0,1
FB(F)F,0.0,0.0,0.0,1
FC(Cl)=C(Cl)Cl,0.0,0.0,0.0,1
FC(Cl)=C(F)Cl,0.0,0.0,0.0,1
FC(F)=C(F)F,0.0,0.0,0.0,1
FC1=C(Cl)CC1,0.0,0.0,0.0,1
FN(F)F,0.0,0.0,0.0,1
FS(F)(F)(F)(F)F,0.0,0.0,0.0,1
F[Si,0.0,0.0,0.0,1
I,0.0,0.0,0.0,1
N,0.0,0.0,0.0,1
N#CC#N,0.0,0.0,0.0,1
N#CC(C#N)=C(C#N)C#N,0.0,0.0,0.0,1
N#C[S-,0.0,0.0,0.0,1
N#S(F)(F)F,0.0,0.0,0.0,1
N=C(N)S(=O)O,0.0,0.0,0.0,2
NC(=O)N=NC(N)=O,0.0,0.0,0.0,3
NC(=O)NC1NC(=O)NC1=O,0.0,0.0,0.0,1
NC(=O)NN=CC(=O)O,0.0,0.0,0.0,8
NC(=S)C(N)=S,0.0,0.0,0.0,7
NC(N)=O,0.0,0.0,0.0,2
NC(N)=S,0.0,0.0,0.0,2
NC1=NC(=O)CS1,0.0,0.0,0.0,1
NC1=NCCS1,0.0,0.0,0.0,1
NC=O,0.0,0.0,0.0,6
NN1C(=O)CSC1=S,0.0,0.0,0.0,1
NN=C(N)N[N+,0.0,0.0,0.0,1
NNC(N)=O,0.0,0.0,0.0,2
Nn1cnnn1,0.0,0.0,0.0,2
O,0.0,0.0,0.0,1
O=C(Cl)Cl,0.0,0.0,0.0,1
O=C(Cl)SCl,0.0,0.0,0.0,10
O=C(F)F,0.0,0.0,0.0,2
O=C(O)C(Cl)=C(Cl)Cl,0.0,0.0,0.0,1
O=C(O)C1=C(C(=O)O)C(=O)C(C(=O)O)=C(C(=O)O)C1,0.0,0.0,0.0,2
O=C([O-,0.0,0.0,0.0,2
O=C1C(Br)=C(Br)CC(Br)=C1Br,0.0,0.0,0.0,1
O=C1C(Br)=CCC=C1Br,0.0,0.0,0.0,1
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,0.0,0.0,0.0,3
O=C1C(Cl)=CC(=NCl)C=C1Cl,0.0,0.0,0.0,1
O=C1C(F)=C(F)C(=O)C(F)=C1F,0.0,0.0,0.0,1
O=C1C(O)=C(Br)C(=O)C(O)=C1Br,0.0,0.0,0.0,1
O=C1C(O)=C(O)C(=O)C(O)=C1O,0.0,0.0,0.0,1
O=C1C=C(Cl)C(=O)C(Cl)=C1,0.0,0.0,0.0,1
O=C1C=C(I)C(=O)C(I)=C1,0.0,0.0,0.0,2
O=C1C=C(O)C(=O)C=C1O,0.0,0.0,0.0,1
O=C1C=C(O)ccC1=O,0.0,0.0,0.0,1
O=C1C=C(S)C(=O)cc1,0.0,0.0,0.0,1
O=C1C=CC(=O)CC1,0.0,0.0,0.0,1
O=C1C=CC(=O)O1,0.0,0.0,0.0,2
O=C1C=CC(=O)cc1,0.0,0.0,0.0,1
O=C1C=CCC1,0.0,0.0,0.0,3
O=C1C=CCC=C1,0.0,0.0,0.0,3
O=C1C=CCCO1,0.0,0.0,0.0,2
O=C1C=CCO1,0.0,0.0,0.0,1
O=C1C=CNC(=O)C1,0.0,0.0,0.0,12
O=C1C=Ccc1,0.0,0.0,0.0,1
O=C1C=CccC1=O,0.0,0.0,0.0,1
O=C1CC(=O)NC(=S)N1,0.0,0.0,0.0,3
O=C1CC(=O)NCN1,0.0,0.0,0.0,1
O=C1CCC(=O)N1,0.0,0.0,0.0,1
O=C1CCC(=O)N1Br,0.0,0.0,0.0,3
O=C1CCC(=O)N1Cl,0.0,0.0,0.0,1
O=C1CCC(=O)O1,0.0,0.0,0.0,1
O=C1CCC2(CCC(=O)O2)O1,0.0,0.0,0.0,2
O=C1CCO1,0.0,0.0,0.0,1
O=C1CN(Br)C(=O)N1Cl,0.0,0.0,0.0,1
O=C1CN(Cl)C(=O)N1,0.0,0.0,0.0,1
O=C1CN(Cl)C(=O)N1Cl,0.0,0.0,0.0,1
O=C1CNC(=O)N1,0.0,0.0,0.0,1
O=C1COC(=O)N1,0.0,0.0,0.0,2
O=C1CSC(=O)N1,0.0,0.0,0.0,1
O=C1CSC(=S)N1,0.0,0.0,0.0,1
O=C1N(Cl)C2C(N1Cl)N(Cl)C(=O)N2Cl,0.0,0.0,0.0,2
O=C1NC(=O)C(=O)C(=O)N1,0.0,0.0,0.0,1
O=C1NCCN1,0.0,0.0,0.0,2
O=C1NCCO1,0.0,0.0,0.0,1
O=C1NccS(=O)(=O)N1,0.0,0.0,0.0,2
O=C1OC(=O)C(Cl)=C1Cl,0.0,0.0,0.0,1
O=C1OC(O)C(Br)=C1Br,0.0,0.0,0.0,5
O=C1OCCO1,0.0,0.0,0.0,2
O=C1ccC(=O)C1(O)O,0.0,0.0,0.0,1
O=C1ccC(=O)N1,0.0,0.0,0.0,1
O=C1ccC(=O)N1CO,0.0,0.0,0.0,1
O=C1ccC(=O)N1Cl,0.0,0.0,0.0,1
O=C1ccC(=O)O1,0.0,0.0,0.0,1
O=C1ccNC1=O,0.0,0.0,0.0,3
O=C1ccS(=O)(=O)N1,0.0,0.0,0.0,1
O=C1ccS(=O)(=O)O1,0.0,0.0,0.0,1
O=C1ccS(=O)(=O)[N-,0.0,0.0,0.0,1
O=C=O,0.0,0.0,0.0,2
O=C=S,0.0,0.0,0.0,4
O=CC(Br)=C(Br)C(=O)O,0.0,0.0,0.0,1
O=CC(Cl)=C(Cl)C(=O)O,0.0,0.0,0.0,1
O=CC1CO1,0.0,0.0,0.0,3
O=CNCNC=O,0.0,0.0,0.0,1
O=CO,0.0,0.0,0.0,2
O=NN1CCC(=O)NC1=O,0.0,0.0,0.0,1
O=P(=O)[O-,0.0,0.0,0.0,1
O=S(=O)(F)F,0.0,0.0,0.0,3
O=S(=O)(O)CS(=O)(=O)O,0.0,0.0,0.0,1
O=S(=O)(O)O,0.0,0.0,0.0,3
O=S(=O)([O-,0.0,0.0,0.0,1
O=S(Cl)Cl,0.0,0.0,0.0,1
O=S1(=O)C=C(Cl)CC1,0.0,0.0,0.0,1
O=S1(=O)CCS(=O)(=O)C1,0.0,0.0,0.0,1
O=S1(=O)ccNCN1,0.0,0.0,0.0,1
O=S1OCCO1,0.0,0.0,0.0,2
O=[N+,0.0,0.0,0.0,1
O=[O+,0.0,0.0,0.0,1
O=[Si,0.0,0.0,0.0,6
O=[Ti,0.0,0.0,0.0,3
OB(O)O,0.0,0.0,0.0,1
ON=CC=NO,0.0,0.0,0.0,2
On1ccnn1,0.0,0.0,0.0,1
S=C1CNC(=S)N1,0.0,0.0,0.0,1
S=C1NCCN1,0.0,0.0,0.0,1
S=C1NCCO1,0.0,0.0,0.0,2
S=C1NCCS1,0.0,0.0,0.0,2
S=P(Cl)(Cl)Cl,0.0,0.0,0.0,1
[Cl-,0.0,0.0,0.0,2
[Cu,0.0,0.0,0.0,1
[F-,0.0,0.0,0.0,1
[Fe,0.0,0.0,0.0,1
[Fe+2,0.0,0.0,0.0,2
[GeH4,0.0,0.0,0.0,2
[I-,0.0,0.0,0.0,1
[Mn,0.0,0.0,0.0,1
[N-,0.0,0.0,0.0,1
[NH4+,0.0,0.0,0.0,1
[O-,0.0,0.0,0.0,1
[O-2,0.0,0.0,0.0,1
[Ru,0.0,0.0,0.0,2
[Th,0.0,0.0,0.0,4
c-n(c)[nH,0.0,0.0,0.0,1
c-n(c)c,0.0,0.0,0.0,1
c-n(c)n(c)C,0.0,0.0,0.0,1
c-n1cnn[nH,0.0,0.0,0.0,1
c-n1cnnn1,0.0,0.0,0.0,2
c-n1nccn1,0.0,0.0,0.0,1
c1cn[nH,0.0,0.0,0.0,2
c1cn[se,0.0,0.0,0.0,1
c1cnsn1,0.0,0.0,0.0,1
c1csnn1,0.0,0.0,0.0,1
c=N,0.0,0.0,0.0,1
c=NN=c,0.0,0.0,0.0,1
c=NO,0.0,0.0,0.0,1
c=O,0.0,0.0,0.0,1
c=[N+,0.0,0.0,0.0,2
cB(O)O,0.0,0.0,0.0,1
cB(c)c,0.0,0.0,0.0,2
cB1NccN1,0.0,0.0,0.0,1
cBr,0.0,0.0,0.0,1
cC#CC,0.0,0.0,0.0,2
cC#CC#Cc,0.0,0.0,0.0,1
cC#CC(=O)O,0.0,0.0,0.0,3
cC#CC(C)=O,0.0,0.0,0.0,1
cC#CC(N)=O,0.0,0.0,0.0,1
cC#Cc,0.0,0.0,0.0,1
cC#N,0.0,0.0,0.0,4
cC#[N+,0.0,0.0,0.0,1
cC(=C)C,0.0,0.0,0.0,3
cC(=C)C#N,0.0,0.0,0.0,1
cC(=C)C(=O)OC,0.0,0.0,0.0,1
cC(=N)N,0.0,0.0,0.0,1
cC(=NO)C(C)=NO,0.0,0.0,0.0,1
cC(=NO)C(c)=NO,0.0,0.0,0.0,1
cC(=O)C(=O)O,0.0,0.0,0.0,1
cC(=O)C(=O)OC,0.0,0.0,0.0,2
cC(=O)C(C)=O,0.0,0.0,0.0,1
cC(=O)C(N)=O,0.0,0.0,0.0,1
cC(=O)C(c)=NN,0.0,0.0,0.0,1
cC(=O)C(c)=O,0.0,0.0,0.0,3
cC(=O)C=C,0.0,0.0,0.0,1
cC(=O)C=C(C)O,0.0,0.0,0.0,7
cC(=O)C=C(c)C,0.0,0.0,0.0,1
cC(=O)C=CC(=O)O,0.0,0.0,0.0,1
cC(=O)C=CC(c)=O,0.0,0.0,0.0,1
cC(=O)F,0.0,0.0,0.0,1
cC(=O)N(C)C,0.0,0.0,0.0,2
cC(=O)N(C)C(=O)NC,0.0,0.0,0.0,1
cC(=O)N(OC(C)=O)C(C)=O,0.0,0.0,0.0,1
cC(=O)N(c)C,0.0,0.0,0.0,2
cC(=O)N(c)O,0.0,0.0,0.0,1
cC(=O)N(c)OC(C)=O,0.0,0.0,0.0,1
cC(=O)N1CC1,0.0,0.0,0.0,1
cC(=O)N=C=O,0.0,0.0,0.0,1
cC(=O)N=C=S,0.0,0.0,0.0,4
cC(=O)NC,0.0,0.0,0.0,2
cC(=O)NC(N)=O,0.0,0.0,0.0,1
cC(=O)NC(c)=O,0.0,0.0,0.0,2
cC(=O)NC(c)N(C)C,0.0,0.0,0.0,1
cC(=O)NCO,0.0,0.0,0.0,1
cC(=O)NN(C)C,0.0,0.0,0.0,2
cC(=O)NN=C(C)C,0.0,0.0,0.0,1
cC(=O)NNC,0.0,0.0,0.0,2
cC(=O)NNC(=S)NC,0.0,0.0,0.0,1
cC(=O)NNC(C)=O,0.0,0.0,0.0,4
cC(=O)NNC(N)=O,0.0,0.0,0.0,1
cC(=O)NNC(c)=O,0.0,0.0,0.0,1
cC(=O)NO,0.0,0.0,0.0,3
cC(=O)NS(c)(=O)=O,0.0,0.0,0.0,1
cC(=O)Nn(c)c,0.0,0.0,0.0,1
cC(=O)O,0.0,0.0,0.0,1
cC(=O)OC,0.0,0.0,0.0,1
cC(=O)OC(c)=O,0.0,0.0,0.0,1
cC(=O)ON=C(C)N,0.0,0.0,0.0,1
cC(=O)ON=C(c)N,0.0,0.0,0.0,2
cC(=O)OO,0.0,0.0,0.0,1
cC(=O)OOC,0.0,0.0,0.0,1
cC(=O)OOC(c)=O,0.0,0.0,0.0,1
cC(=O)SC,0.0,0.0,0.0,1
cC(=O)SCO,0.0,0.0,0.0,2
cC(=O)SSC(c)=O,0.0,0.0,0.0,4
cC(=O)n(c)c,0.0,0.0,0.0,1
cC(Br)=CC=C(c)Br,0.0,0.0,0.0,7
cC(C)=C(C#N)C(=O)OC,0.0,0.0,0.0,10
cC(C)=C(C)C(=O)O,0.0,0.0,0.0,1
cC(C)=C(c)C,0.0,0.0,0.0,1
cC(C)=CC,0.0,0.0,0.0,1
cC(C)=NN=C(c)C,0.0,0.0,0.0,1
cC(C)=NO,0.0,0.0,0.0,1
cC(C)=NOC,0.0,0.0,0.0,2
cC(C)=O,0.0,0.0,0.0,1
cC(F)=C(c)F,0.0,0.0,0.0,3
cC(N)=NC,0.0,0.0,0.0,1
cC(N)=NOC(C)=O,0.0,0.0,0.0,1
cC(N)=O,0.0,0.0,0.0,2
cC(N)=S,0.0,0.0,0.0,1
cC(O)=C(C)C(C)=O,0.0,0.0,0.0,8
cC(OC)OC,0.0,0.0,0.0,2
cC(c)(OC)OC,0.0,0.0,0.0,1
cC(c)=C,0.0,0.0,0.0,2
cC(c)=C(C#N)C(=O)OC,0.0,0.0,0.0,2
cC(c)=C(C)C,0.0,0.0,0.0,6
cC(c)=C(Cl)Cl,0.0,0.0,0.0,2
cC(c)=C(c)C,0.0,0.0,0.0,1
cC(c)=C(c)C#N,0.0,0.0,0.0,2
cC(c)=C(c)C(=O)O,0.0,0.0,0.0,2
cC(c)=C(c)Cl,0.0,0.0,0.0,1
cC(c)=C(c)c,0.0,0.0,0.0,7
cC(c)=C1C=C(Br)C(=O)C(Br)=C1,0.0,0.0,0.0,16
cC(c)=C1C=CC=C1,0.0,0.0,0.0,1
cC(c)=CBr,0.0,0.0,0.0,2
cC(c)=CC,0.0,0.0,0.0,2
cC(c)=NC,0.0,0.0,0.0,1
cC(c)=NN,0.0,0.0,0.0,1
cC(c)=NN=C(c)c,0.0,0.0,0.0,1
cC(c)=NO,0.0,0.0,0.0,1
cC1(C)CO1,0.0,0.0,0.0,10
cC1(O)CSC(=S)N1,0.0,0.0,0.0,1
cC1(O)CSC(=S)N1C,0.0,0.0,0.0,1
cC12NC(=O)NC1(c)NC(=O)N2,0.0,0.0,0.0,1
cC1=C(C(C)=O)C(=O)OC1,0.0,0.0,0.0,2
cC1=C(C)C(=O)C(C)=C1c,0.0,0.0,0.0,7
cC1=C(C)C(=O)OC1=O,0.0,0.0,0.0,1
cC1=C(c)C1,0.0,0.0,0.0,2
cC1=CC(=O)C(C)=C(C)C1=O,0.0,0.0,0.0,1
cC1=CC(=O)C(c)=CC1=O,0.0,0.0,0.0,1
cC1=CC(=O)C=CC1=O,0.0,0.0,0.0,2
cC1=CC(c)(O)OC1=O,0.0,0.0,0.0,2
cC1=COC2(ccC(=O)O2)C1=O,0.0,0.0,0.0,1
cC1=NCCO1,0.0,0.0,0.0,1
cC1=NCCS1,0.0,0.0,0.0,1
cC1CO1,0.0,0.0,0.0,2
cC1N(C)CCN1C,0.0,0.0,0.0,2
cC1NC(=O)ccO1,0.0,0.0,0.0,1
cC1OC(=O)ccS1,0.0,0.0,0.0,1
cC1OC1C(=O)OC,0.0,0.0,0.0,2
cC1OC1c,0.0,0.0,0.0,1
cC=C(Br)C=O,0.0,0.0,0.0,3
cC=C(C#N)C(=O)O,0.0,0.0,0.0,1
cC=C(C#N)C(=O)OC,0.0,0.0,0.0,1
cC=C(C(=O)O)C(=O)O,0.0,0.0,0.0,1
cC=C(C(c)=O)C(=O)OC,0.0,0.0,0.0,1
cC=C(C)C,0.0,0.0,0.0,2
cC=C(C)C(=O)O,0.0,0.0,0.0,1
cC=C(C)C(C)=O,0.0,0.0,0.0,1
cC=C(C)C=O,0.0,0.0,0.0,1
cC=C(C)[N+,0.0,0.0,0.0,2
cC=C(Cl)C=O,0.0,0.0,0.0,1
cC=C(F)C(=O)O,0.0,0.0,0.0,1
cC=C(NC(C)=O)C(=O)O,0.0,0.0,0.0,2
cC=C(NC(C)=O)N(C)C(C)=O,0.0,0.0,0.0,4
cC=C(c)C#N,0.0,0.0,0.0,1
cC=C(c)C(=O)OC,0.0,0.0,0.0,1
cC=C(c)C=O,0.0,0.0,0.0,2
cC=C(c)c,0.0,0.0,0.0,5
cC=C1C(=O)NC(=O)NC1=O,0.0,0.0,0.0,1
cC=C1C=CccN1C,0.0,0.0,0.0,1
cC=C1N=C(C)OC1=O,0.0,0.0,0.0,10
cC=C1NC(=O)NC1=O,0.0,0.0,0.0,1
cC=C1NC(=S)NC1=O,0.0,0.0,0.0,6
cC=C1SC(=O)NC1=O,0.0,0.0,0.0,3
cC=C1SC(=S)N(N)C1=O,0.0,0.0,0.0,1
cC=C1SC(=S)NC1=O,0.0,0.0,0.0,1
cC=C1SC(N)=NC1=O,0.0,0.0,0.0,1
cC=C1ccC(=O)O1,0.0,0.0,0.0,1
cC=CBr,0.0,0.0,0.0,4
cC=CC,0.0,0.0,0.0,1
cC=CC#N,0.0,0.0,0.0,1
cC=CC(=O)C=Cc,0.0,0.0,0.0,2
cC=CC(=O)O,0.0,0.0,0.0,2
cC=CC(C)=O,0.0,0.0,0.0,1
cC=CC(OC)OC,0.0,0.0,0.0,1
cC=CC(c)=NO,0.0,0.0,0.0,1
cC=CC(c)=O,0.0,0.0,0.0,2
cC=CC=C(c)c,0.0,0.0,0.0,1
cC=CC=C1SC(=S)NC1=O,0.0,0.0,0.0,2
cC=CC=CC(=O)O,0.0,0.0,0.0,4
cC=CC=CC(c)=O,0.0,0.0,0.0,3
cC=CC=Cc,0.0,0.0,0.0,1
cC=CC=NO,0.0,0.0,0.0,1
cC=CCl,0.0,0.0,0.0,6
cC=C[N+,0.0,0.0,0.0,1
cC=NC,0.0,0.0,0.0,2
cC=NC(c)N=Cc,0.0,0.0,0.0,1
cC=NN(C)C,0.0,0.0,0.0,2
cC=NN1C(=O)C(=Cc)SC1=S,0.0,0.0,0.0,1
cC=NN1C(=O)CSC1=S,0.0,0.0,0.0,1
cC=NN1CC(=O)NC1=O,0.0,0.0,0.0,1
cC=NN1CCOC1=O,0.0,0.0,0.0,1
cC=NN=Cc,0.0,0.0,0.0,2
cC=NNC(C)=O,0.0,0.0,0.0,3
cC=NNC(N)=O,0.0,0.0,0.0,1
cC=NNC(c)=O,0.0,0.0,0.0,1
cC=NNc,0.0,0.0,0.0,2
cC=NO,0.0,0.0,0.0,1
cC=Nc,0.0,0.0,0.0,2
cC=O,0.0,0.0,0.0,1
cC=S,0.0,0.0,0.0,1
cCl,0.0,0.0,0.0,1
cF,0.0,0.0,0.0,10
cI,0.0,0.0,0.0,1
cI(OC(C)=O)OC(C)=O,0.0,0.0,0.0,1
cN(C(C)=O)C(C)=O,0.0,0.0,0.0,1
cN(C(C)=O)N(c)C(C)=O,0.0,0.0,0.0,1
cN(C(C)=O)S(c)(=O)=O,0.0,0.0,0.0,1
cN(C)C,0.0,0.0,0.0,2
cN(C)C(=O)OC,0.0,0.0,0.0,1
cN(C)C(C)=O,0.0,0.0,0.0,1
cN(C)C(C)N(C)C,0.0,0.0,0.0,1
cN(C)C(N)=S,0.0,0.0,0.0,1
cN(C)C=O,0.0,0.0,0.0,6
cN(C)N,0.0,0.0,0.0,2
cN(C)P(=O)(N(c)C)N(c)C,0.0,0.0,0.0,1
cN(C)P(OC)OC,0.0,0.0,0.0,1
cN(C)S(c)(=O)=O,0.0,0.0,0.0,1
cN(C=CC1=[N+,0.0,0.0,0.0,1
cN(COC)C(C)=O,0.0,0.0,0.0,1
cN(Cl)Cl,0.0,0.0,0.0,2
cN(c)C,0.0,0.0,0.0,7
cN(c)C#CC,0.0,0.0,0.0,2
cN(c)C(=O)C=C,0.0,0.0,0.0,1
cN(c)C(=O)Cl,0.0,0.0,0.0,5
cN(c)C(=O)N(C)C,0.0,0.0,0.0,2
cN(c)C(=O)NN,0.0,0.0,0.0,1
cN(c)C(=O)OC,0.0,0.0,0.0,1
cN(c)C(C)=O,0.0,0.0,0.0,1
cN(c)C(N)=O,0.0,0.0,0.0,1
cN(c)C=O,0.0,0.0,0.0,22
cN(c)N=O,0.0,0.0,0.0,1
cN(c)[NH3+,0.0,0.0,0.0,2
cN(c)c,0.0,0.0,0.0,1
cN1C(=O)C(=C(C)C)SC1=S,0.0,0.0,0.0,1
cN1C(=O)C=CC1=O,0.0,0.0,0.0,1
cN1C(=O)CCC1=O,0.0,0.0,0.0,4
cN1C(=O)N(c)C1=O,0.0,0.0,0.0,7
cN1CC(=O)N(C)C1,0.0,0.0,0.0,1
cN1CC1,0.0,0.0,0.0,2
cN1CCC(=O)N1C(C)=O,0.0,0.0,0.0,1
cN1CCC(N)=N1,0.0,0.0,0.0,2
cN1CCC(OC(C)=O)=N1,0.0,0.0,0.0,2
cN1CCC1=O,0.0,0.0,0.0,1
cN1CCOC1=O,0.0,0.0,0.0,1
cN1N=C(C)CC1=O,0.0,0.0,0.0,1
cN1ccC(=O)C1=O,0.0,0.0,0.0,1
cN=C(C#N)Nc,0.0,0.0,0.0,2
cN=C(C)C,0.0,0.0,0.0,2
cN=C(C)Nc,0.0,0.0,0.0,1
cN=C(C)SC,0.0,0.0,0.0,1
cN=C(N)N,0.0,0.0,0.0,2
cN=C(N)N(c)c,0.0,0.0,0.0,1
cN=C(N)N=C(N)N,0.0,0.0,0.0,1
cN=C(N)Nc,0.0,0.0,0.0,1
cN=C(Nc)Nc,0.0,0.0,0.0,1
cN=C(Nc)SC,0.0,0.0,0.0,2
cN=C1C=C(C(=O)N(c)C)C(=O)cc1,0.0,0.0,0.0,2
cN=C1C=C(C(=O)Nc)C(=O)cc1,0.0,0.0,0.0,1
cN=C=Nc,0.0,0.0,0.0,2
cN=C=O,0.0,0.0,0.0,2
cN=C=S,0.0,0.0,0.0,1
cN=CN(C)C,0.0,0.0,0.0,3
cN=COC,0.0,0.0,0.0,1
cN=N,0.0,0.0,0.0,1
cN=NC,0.0,0.0,0.0,1
cN=NC(=O)N(C)C,0.0,0.0,0.0,1
cN=NN(C)C,0.0,0.0,0.0,2
cN=NN(c)C,0.0,0.0,0.0,1
cN=Nc,0.0,0.0,0.0,1
cN=PNc,0.0,0.0,0.0,1
cN=S=O,0.0,0.0,0.0,1
cN=[N+,0.0,0.0,0.0,1
cNC,0.0,0.0,0.0,1
cNC#N,0.0,0.0,0.0,2
cNC(=O)C(=C)C,0.0,0.0,0.0,2
cNC(=O)C(=O)NC,0.0,0.0,0.0,1
cNC(=O)C(=O)O,0.0,0.0,0.0,2
cNC(=O)C(=O)OC,0.0,0.0,0.0,5
cNC(=O)C(Cl)=C(Cl)Cl,0.0,0.0,0.0,1
cNC(=O)C1=C(C)OCCS1,0.0,0.0,0.0,3
cNC(=O)C=C,0.0,0.0,0.0,1
cNC(=O)C=CC(=O)O,0.0,0.0,0.0,1
cNC(=O)N(C)C,0.0,0.0,0.0,1
cNC(=O)N(C)N=O,0.0,0.0,0.0,2
cNC(=O)N(C)OC,0.0,0.0,0.0,2
cNC(=O)N(c)N=O,0.0,0.0,0.0,5
cNC(=O)NC,0.0,0.0,0.0,1
cNC(=O)NC(N)=O,0.0,0.0,0.0,1
cNC(=O)NOC,0.0,0.0,0.0,4
cNC(=O)Nc,0.0,0.0,0.0,1
cNC(=O)OC,0.0,0.0,0.0,1
cNC(=O)Oc,0.0,0.0,0.0,2
cNC(=S)NC,0.0,0.0,0.0,1
cNC(=S)Nc,0.0,0.0,0.0,1
cNC(=S)OC,0.0,0.0,0.0,3
cNC(C)=O,0.0,0.0,0.0,2
cNC(C)=S,0.0,0.0,0.0,2
cNC(C)Nc,0.0,0.0,0.0,7
cNC(N)=O,0.0,0.0,0.0,2
cNC(OC)C(c)=O,0.0,0.0,0.0,1
cNC(c)=O,0.0,0.0,0.0,1
cNC1=C([n+,0.0,0.0,0.0,1
cNC1=CC(=O)C(=O)cc1,0.0,0.0,0.0,1
cNC1ccC(=O)O1,0.0,0.0,0.0,2
cNC=C(C(=O)OC)C(=O)OC,0.0,0.0,0.0,1
cNC=O,0.0,0.0,0.0,2
cNCN1C(=O)CCC1=O,0.0,0.0,0.0,1
cNN1C(=O)CSC1=S,0.0,0.0,0.0,6
cNN=C,0.0,0.0,0.0,1
cNN=C(C)C,0.0,0.0,0.0,1
cNN=C(C)C(=O)O,0.0,0.0,0.0,1
cNN=C(C)C(C)=CC,0.0,0.0,0.0,1
cNN=C(C)C=CC,0.0,0.0,0.0,22
cNN=C(c)C(c)=O,0.0,0.0,0.0,2
cNN=C(c)c,0.0,0.0,0.0,6
cNN=CC,0.0,0.0,0.0,1
cNN=CC(C)=CC,0.0,0.0,0.0,3
cNN=CC=CC,0.0,0.0,0.0,1
cNN=NC,0.0,0.0,0.0,1
cNN=c,0.0,0.0,0.0,1
cNNC(=O)NC,0.0,0.0,0.0,1
cNNC(=O)Nc,0.0,0.0,0.0,1
cNNC(=O)OC,0.0,0.0,0.0,2
cNNC(=S)NC,0.0,0.0,0.0,1
cNNC(C)=O,0.0,0.0,0.0,1
cNNC=O,0.0,0.0,0.0,2
cNNS(c)(=O)=O,0.0,0.0,0.0,1
cNO,0.0,0.0,0.0,2
cNP(=O)(Nc)Nc,0.0,0.0,0.0,1
cNP(=O)(OC)OC,0.0,0.0,0.0,1
cNP(OC)OC,0.0,0.0,0.0,1
cNS(C)(=O)=O,0.0,0.0,0.0,1
cNS(c)(=O)=O,0.0,0.0,0.0,1
cN[N+,0.0,0.0,0.0,2
cN[P+,0.0,0.0,0.0,6
cNn(c)c,0.0,0.0,0.0,1
cOC,0.0,0.0,0.0,1
cOC(=O)C(=C)C,0.0,0.0,0.0,2
cOC(=O)C(Cl)=C(Cl)Cl,0.0,0.0,0.0,2
cOC(=O)Cl,0.0,0.0,0.0,1
cOC(=O)N(C)C,0.0,0.0,0.0,1
cOC(=O)N(C)N=O,0.0,0.0,0.0,8
cOC(=O)NC,0.0,0.0,0.0,1
cOC(=O)OC,0.0,0.0,0.0,2
cOC(=S)Cl,0.0,0.0,0.0,1
cOC(=S)N(C)C,0.0,0.0,0.0,1
cOC(C)(C)Oc,0.0,0.0,0.0,4
cOC(C)=O,0.0,0.0,0.0,1
cOC(C)N(C)C,0.0,0.0,0.0,2
cOC(C)OC,0.0,0.0,0.0,1
cOC(OC)OC,0.0,0.0,0.0,1
cOC(Oc)OC,0.0,0.0,0.0,9
cOC(c)=O,0.0,0.0,0.0,2
cOC1CC=CO1,0.0,0.0,0.0,1
